613,特薬草,2000,
614,彼岸花,1000,
615,雪の霊草,7000,

616,山芋,100,
617,ウコン,500,
618,高麗人参,1000,
619,苦い根っこ,3000,
620,マンドラゴラ,6000,

621,白い樹脂,100,
622,黄色い樹脂,2000,
623,芳しい樹脂,4000,
624,悪華の乳液,6000,
625,竜血,10000,

626,キイチゴ,50,
627,はちみつ,100,
628,アケビ,500,
629,たけのこ,800,
630,仙桃,12000,

631,骨くず,100,
632,石膏,500,
633,滑石,1000,
634,竜骨,3000,
635,辰砂,5000,

636,ふん,10,
637,湯の花,500,
638,彷徨う魂,3000,
639,ダークマター,10000,
640,鳳凰の尾,12000,

641,蝦蟇の油,1000,
642,魚粕,150,
643,龍涎香,15000,
644,丸太,5000,
645,竹材,1000,

646,香木,15000,

;700はお肉
701,ヤマドリ,100,;非売品
702,獣肉,4500,
703,鳥肉,4500,
;704,牛肉,500,
705,得体の知れない肉,100,;非売品
706,カエル,100
707,魚,100,;			シドが死ぬ
708,うまい魚,200,;	シドを生存させる
709,虫,100,
710,レアな虫,5000,

800,メイド服
801,ナース服
802,サンタ服

850,パワフルドラッグ,5000,;弾幕勝負補助アイテム
851,アイシクルボム,7000,;弾幕勝負補助アイテム
852,太乙の火種,10000,;弾幕勝負補助アイテム
853,魅惑のエサ,10000,;弾幕勝負補助アイテム
854,賢者の石,30000,;弾幕勝負補助アイテム
855,バレットゴーレム,10000,;弾幕勝負補助アイテム

870,エピタフ
871,キング・クリムゾン

900,祭壇,1000000,
;901,コレクションのスキマ,10000
902,ヒノキ風呂,800000,;お風呂の回復に補正
903,キリのベッド,600000,;睡眠回復に補正
904,イチョウのまな板,100000,;料理に補正
905,ケヤキの机椅子,500000,;調合・勉強に補正
906,ナラのソファー,500000,;休憩・回復に補正
907,カスタム竹箒,100000,;掃除力に補正


